method,stage,window_id,candidate,latency_ms,sla_violation,reward
epsilon_greedy_bandit,ingress,13,1,73.0,0,-73.0
epsilon_greedy_bandit,ingress,14,1,75.0,0,-75.0
epsilon_greedy_bandit,ingress,15,1,79.0,0,-79.0
epsilon_greedy_bandit,ingress,16,1,75.0,0,-75.0
epsilon_greedy_bandit,ingress,17,1,79.0,0,-79.0
epsilon_greedy_bandit,ingress,18,1,73.0,0,-73.0
epsilon_greedy_bandit,ingress,19,1,77.0,0,-77.0
epsilon_greedy_bandit,ingress,20,1,74.0,0,-74.0
epsilon_greedy_bandit,ingress,21,1,74.0,0,-74.0
epsilon_greedy_bandit,ingress,22,1,76.0,0,-76.0
epsilon_greedy_bandit,ingress,23,1,75.0,0,-75.0
epsilon_greedy_bandit,ingress,24,1,74.0,0,-74.0
epsilon_greedy_bandit,ingress,25,1,78.0,0,-78.0
epsilon_greedy_bandit,ingress,26,1,72.0,0,-72.0
epsilon_greedy_bandit,ingress,27,1,76.0,0,-76.0
epsilon_greedy_bandit,ingress,28,1,74.0,0,-74.0
epsilon_greedy_bandit,ingress,29,1,78.0,0,-78.0
epsilon_greedy_bandit,processor,0,0,16.0,0,-16.0
epsilon_greedy_bandit,processor,1,1,19.125,0,-19.125
epsilon_greedy_bandit,processor,2,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,3,0,22.0,0,-22.0
epsilon_greedy_bandit,processor,4,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,5,2,17.863979848866418,0,-17.863979848866418
epsilon_greedy_bandit,processor,6,2,19.042821158690263,0,-19.042821158690263
epsilon_greedy_bandit,processor,7,2,18.136020151133586,0,-18.136020151133586
epsilon_greedy_bandit,processor,8,0,22.0,0,-22.0
epsilon_greedy_bandit,processor,9,2,19.042821158690263,0,-19.042821158690263
epsilon_greedy_bandit,processor,10,2,19.042821158690263,0,-19.042821158690263
epsilon_greedy_bandit,processor,11,0,20.0,0,-20.0
epsilon_greedy_bandit,processor,12,2,18.136020151133586,0,-18.136020151133586
epsilon_greedy_bandit,processor,13,2,19.042821158690263,0,-19.042821158690263
epsilon_greedy_bandit,processor,14,2,18.136020151133586,0,-18.136020151133586
epsilon_greedy_bandit,processor,15,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,16,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,17,2,19.042821158690263,0,-19.042821158690263
epsilon_greedy_bandit,processor,18,2,19.042821158690263,0,-19.042821158690263
epsilon_greedy_bandit,processor,19,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,20,2,18.136020151133586,0,-18.136020151133586
epsilon_greedy_bandit,processor,21,2,16.322418136020225,0,-16.322418136020225
epsilon_greedy_bandit,processor,22,2,16.322418136020225,0,-16.322418136020225
epsilon_greedy_bandit,processor,23,2,17.229219143576906,0,-17.229219143576906
epsilon_greedy_bandit,processor,24,2,17.229219143576906,0,-17.229219143576906
